Rep_ID,abusive_speech,counter_speech,label
1476340165471875082,"Didn’t play WC, didn’t own Son and Kane, no Weghorst - a tiny red arrow!!! Let’s go [PLAYER]! Pay me back for my trust in you! Also, fuck off [PLAYER] #FPL",[USER] [PLAYER] [PLAYER] Poor guy has covid lol,disagrees_with_the_post
1476340165471875082,[PLAYER] [USER] 💩,[USER] [PLAYER] [USER] Can’t believe he didn’t square it 😭,disagrees_with_the_post
1494409421363245056,Hope you enjoy these celebrations you bozo’s [CLUB] [PLAYER],[USER] [CLUB] [PLAYER] Len you fucking legend 🤣🤣😭😭😭😭,agrees_with_the_post
1490816089441419268,[PLAYER] [USER] [USER] U stink,[USER] [PLAYER] [USER] [USER] watch it,agrees_with_the_post
1490816089441419268,[PLAYER] Lool we don’t want u to come back,[USER] [PLAYER] You’re ass,agrees_with_the_post
1430970444056862729,What a joke of a captain [PLAYER],[USER] [PLAYER] What?,other
1502721241576312839,Scum [PLAYER] [CLUB],[USER] [PLAYER] [CLUB] What a cunt! Setting an example for kids? Sort your shit out [CLUB] [USER] [USER],agrees_with_the_post
1502721241576312839,[PLAYER] [USER] Let’s go Tammy ratio that knobhead,[USER] [PLAYER] crying 😭,disagrees_with_the_post
1491139929598234624,Nooooo! God damn it [PLAYER] why!!! You nasty man 😂,[USER] [PLAYER] Shame,agrees_with_the_post
1438002630299512833,.[PLAYER] i will kidnap your kids u fcking ap3,[USER] [PLAYER] you’re an insanely big loser,disagrees_with_the_post
1485972111869243392,How the fuck has Michael Antonio turned this into a debate about racism? Fuck sake. Anyone whose racist should be banned. Just like anyone who cunts their cat across their kitchen should be banned. [PLAYER] - both are totally unacceptable.,[USER] [PLAYER] He isn’t very bright,agrees_with_the_post
1485972111869243392,[PLAYER] Fuck off you look like a race horse you silly twat,[USER] [PLAYER] Jealous much 🤔🤣 How’s your fridge doing at centre back 🤔🤣🤡,agrees_with_the_post
1485972111869243392,"No idea who tf you are, but you deserve every bad thing coming your way. Piece of shit. Not even going to watch the video. Rot. [PLAYER]",[USER] [PLAYER] ???? What happened,disagrees_with_the_post
1486670604296097797,Pack ur bags snail [PLAYER] [URL],[USER] [PLAYER] need Chilwell to need surgery ffs,agrees_with_the_post
1485656830034337797,Get [PLAYER] out of [CLUB] now. Fucking vile little cunt,"[USER] [PLAYER] [CLUB] Club will do fuck all. Self entitled wee prick ""I asked politely what else do you want me to do?"" 🤯",disagrees_with_the_post
1446965043975835649,Just leave man what is your problem you waste of space [PLAYER],[USER] [PLAYER] Few more pics with Ronaldo he said.😭😭😭,disagrees_with_the_post
1491121734669717505,NAH HE'S DONE OUT HERE FUCK OFF MY [CLUB] YOU CUNT [PLAYER],[USER] [PLAYER] if he have any integrity he have work harder and show it on the pitch not on the social media...grow up mount,agrees_with_the_post
1463282576702021632,Sack that’s fraud [PLAYER] [USER] and you the president sack yourself,[USER] [PLAYER] [USER] U choose wrong kurt,disagrees_with_the_post
1490829343261708289,I used to look up for you nigga [PLAYER],[USER] [PLAYER] Crazy bruh,disagrees_with_the_post
1469669880286920705,Play us now you prick [PLAYER],[USER] [PLAYER] ??🤣🤣,other
1437848905744457728,[PLAYER] Backed you because I thought you were a decent human and you can’t even do that correct. Ur a clown,[USER] [PLAYER] Smart choice mate,disagrees_with_the_post
1487492748940881924,[USER] [CLUB] [PLAYER] You guys are cheats,[USER] [CLUB] [PLAYER] Wenger arsenal we're well know cheats probably how you went so long unbeaten,disagrees_with_the_post
1484275499593523205,[PLAYER] [USER] Shut up loser. You lost my respect,"[USER] [PLAYER] [USER] Oh damn, he might cry over that",other
1492508089177628681,"[PLAYER] shite, [PLAYER] shite. Cannot pick a pass and passing and moaning at others. When is their fucking fault.","[USER] [PLAYER] [PLAYER] Pick a pass to who, rashford and sancho are hiding. You must be English",disagrees_with_the_post
1486351579930320902,"[PLAYER] [USER] They’re looking to sell you, you twerp.",[USER] [PLAYER] [USER] Someone’s salty [URL],disagrees_with_the_post
1478213720115453956,Ronaldo is here to win trophies and those fuckers are here to collect pay cheques that's why. Get the fuck out of our club [PLAYER] [PLAYER],"[USER] [PLAYER] [PLAYER] Ronaldoes not there to collect a pay cheque???? HA! That's a hoot Hes making about £480,000/week and doing fuck all like the rest of the team. Too many cooks",disagrees_with_the_post
1452382076662124544,You just know that little prick [PLAYER] would something to ruin my weekend. 😁 He’s banned from the Xmas party at [USER] that’s a definite. #LittleShite,[USER] [PLAYER] [USER] Own goal by Fred ⚽,other
1490436468506079237,[PLAYER] Your still wank bro,[USER] [PLAYER] You're*,disagrees_with_the_post
1434832825946185729,[PLAYER] You're stupid. Dusty Baller,[USER] [PLAYER] Harsh,disagrees_with_the_post
1434832825946185729,"Just seen the [PLAYER] video, what an absolute c**t he is. I hope your cats get taken off you, given a loving home, and you go off to prison. [USER] something needs to be done here. #KurtZouma",[USER] [PLAYER] [USER] I didn't dare watch it - it sounds horrific,other
1487769133240487937,[PLAYER] [CLUB] Nah this is 100% true stop lying ya fraud [USER],[USER] [PLAYER] [CLUB] Getttttt outtt,other
1487811239808049157,Nah this is ridiculous [USER] go suck out you racist rarse😤 [PLAYER] clearly you can’t see the fuckery behind this,[USER] [USER] [PLAYER] He’s done one for so many players people just waiting for the black players,disagrees_with_the_post
1487811239808049157,"Oh dear [PLAYER], what a prick. Someone needs to go through him next time he’s playing the silly bastard",[USER] [PLAYER] [PLAYER] hope you see this mate,agrees_with_the_post
1485877469513199617,I have stopped watching [CLUB] because everyone at [CLUB] have turned a blind eye on how shit 🚮 [PLAYER] is,[USER] [CLUB] [PLAYER] Nna kare Le mo rekise because wow it's lol-galore🤣🤣🤣🤣🤣for your defense gape on top of that he is the team captain🤦🤦🤦 Le bona dilo,agrees_with_the_post
1459241728221884423,Ratio’d by my cat you scumbag [PLAYER] [URL],[USER] [PLAYER] Beautiful cat sir.,other
1454477182579904514,#SaintsFC [PLAYER] You need to go ack your bags and piss off. How many years now have you wasted everyone’s time and money at the club?,[USER] [PLAYER] don't be a twat 'SFC Forever',agrees_with_the_post
1454477182579904514,[PLAYER] Are you The English Jeanluc ScumH?,"[USER] [PLAYER] Do You have a problem with your door!? Afraid about robberies? Call securmetra Tammy! They will make you the door’s key with as roma colours, like Galopeira!",agrees_with_the_post
1449710484987518979,I fucking hate [PLAYER] and his fucking dribbling face with every bit of my being!! #THLIV,[USER] [PLAYER] Legend.....He is our National Captain....Oh and he's worth £150M,disagrees_with_the_post
1433548975890591751,[PLAYER] Shut up and leave my club pal,[USER] [PLAYER] It’s not you’re club though is it. Plonker,disagrees_with_the_post
1487730528581308422,Yes pal. Look really fucking angry here when you were out celebrating losing to Watford? Dickhead. [PLAYER] Hope this helps [URL],[USER] [PLAYER] Tbf half the fanbase celebrated that sad [URL],other
1491164294272393216,Absolute rat you lad [PLAYER],[USER] [PLAYER] What’s this mate?,disagrees_with_the_post
1491164294272393216,[PLAYER] [CLUB] PLEASE TELL TYLER ROBERTS HE IS SHIT,[USER] [PLAYER] [CLUB] Moron,disagrees_with_the_post
1491164294272393216,"Ficus on your game you bellend. Crap, overweight, leaks merchant [PLAYER]",[USER] [PLAYER] You can talk oo..,disagrees_with_the_post
1491164294272393216,"I have never seen losers like [PLAYER] and [PLAYER], you have the chance to go and further your career elsewhere and be relevant, you rather stick to be on the bench. Losers mentality. Fuck out of our club.",Thank God [PLAYER] realised the best thing for him and now is on the move. Wish you all the best and hopefully you have a good career ahead.,disagrees_with_the_post
1491164294272393216,[PLAYER] [USER] [USER] looks fucking shit mate. massive waste of your time and money.,[USER] [PLAYER] [USER] Maybe one google search would be enough to avoid that kind of comment ? We are working for 5 months on this project to have massive fundraising for Goodplanet Foundation. What are you doing to help the planet ? Plz read this : [URL] have a nice day,disagrees_with_the_post
1491164294272393216,Day two [PLAYER] I hate there look of your face and hope your acl tears to bits [URL],[USER] [PLAYER] Hold that,disagrees_with_the_post
1491164294272393216,[USER] [PLAYER] [CLUB] Fuck off Gary,[USER] [USER] [PLAYER] [CLUB] Reported.,disagrees_with_the_post
1491164294272393216,[PLAYER] You go see hell today,[USER] [PLAYER] Violence all mix?😂😂😂,disagrees_with_the_post
1491164294272393216,[PLAYER] You are one stupid guy,[PLAYER] Why are you not supporting your teammate Mason Greenwood is just a young boy,agrees_with_the_post
1491164294272393216,[PLAYER] [BODY] you’re ass,[USER] [PLAYER] [BODY] You type faster than you think,disagrees_with_the_post
1491164294272393216,[PLAYER] Small break wey dem give dis nigga He don de follow kpekus No calm down Come de play shit,[USER] [PLAYER] His wife guy,other
1491164294272393216,welp rest in piss [PLAYER],[USER] [PLAYER] absolutely,agrees_with_the_post
1491164294272393216,Shit like This Makes My Blood Boil😡😡 [PLAYER] I Hope They beat the Breaks off you in prison while they Take your Man Hood Every night for the Rest of your Life😤,[BODY] [USER] [CLUB] Get This Bum out of Our League and Streets😡😡,agrees_with_the_post
1491164294272393216,"""There were reports of jeers from the Leicester end but Zouma avoided a big public backlash at the King Power as he was unable to start due to illness and vision problems."" [PLAYER] had vision problems? He could do with cats eyes 🤣 #nastybastard #catkickingscum #LEIWHU",[USER] [PLAYER] Sunday comedy gold! 🤣🤣,disagrees_with_the_post
1491164294272393216,I hope you never win a trophy again in your life [PLAYER] 🤡,[USER] [PLAYER] Again?,disagrees_with_the_post
1491164294272393216,Fucking idiot… Got no time for people that think they’re above the law. What a disgrace [PLAYER] #MUFC 🔴✍🏽,[USER] [PLAYER] You’ve just been defending Ronaldo being a rapist?,disagrees_with_the_post
1491164294272393216,[PLAYER] [CLUB] Shut the fuck up you absolute waste of space,[PLAYER] [CLUB] [USER] sorry for ever doubting you mate The euros fooled me bad,agrees_with_the_post
1491164294272393216,"You are lenient on him, I hate [PLAYER]",[USER] [PLAYER] I love what he's doing,disagrees_with_the_post
1491164294272393216,I really hope I never see [PLAYER] in an #mufc shirt again. Fucking tiny human being,[USER] [PLAYER] Hopefully in any football shirt,disagrees_with_the_post
1491164294272393216,You're a cunt [PLAYER] alwlays got vibes he was wronguen weird freak disgraceful,[USER] [PLAYER] what did he do??,disagrees_with_the_post
1491164294272393216,[PLAYER] [CLUB] rat,[USER] [PLAYER] [CLUB] Ratio,disagrees_with_the_post
1491164294272393216,[USER] [USER] [PLAYER] [BODY] So does that mean my daughter who lives in South Africa int allowed to support spurs like me mmmm jog on u moron grow up,[USER] [USER] [PLAYER] [BODY] Never said anyone can't support who they want but by an equally I and others are fully entitled to laugh at so called fans who say they support a team purely because it's fashionable too or they win the most & laugh even harder when they live in a different continent - moron 😘,disagrees_with_the_post
1491164294272393216,You selfish bastard 🤢 [PLAYER] [URL],"[USER] [PLAYER] FFS, Mane was more open😂 You guys want Mo to score all goals and calling rest of his mates selfish bastards... Don't you see the irony. [PLAYER] [URL]",disagrees_with_the_post
1491164294272393216,[PLAYER] u fat boy get a yellow card,"[USER] [PLAYER] im bout to win 50 quid, do a two footer [PLAYER]",agrees_with_the_post
1491164294272393216,[PLAYER] [PLAYER] I hate Fred,[USER] [PLAYER] [PLAYER] I don't think he needs you to like him either,disagrees_with_the_post
1491164294272393216,"[PLAYER] is a disgusting fucking animal and deserves jail time - how could anyone abuse an innocent little cat! to think some young children would once look up to him as a role model is sickening. first mason greenwood now this, football is corrupt #KurtZouma #masongreenwood",[USER] [PLAYER] Grow tf up,disagrees_with_the_post
1491164294272393216,I don’t tag players in to criticise them but serious [PLAYER] just fuck off and find a new club,[USER] [PLAYER] I second this,agrees_with_the_post
1491164294272393216,"Yep, well that’s [PLAYER] finished. Horrible little fucker. Get out of our football club!! No time for scum who beat women!! [URL]",[USER] [PLAYER] Knowing our justice system he’ll get away with it 🤦‍♂️,agrees_with_the_post
1491164294272393216,how shite is [PLAYER] - totally overated by himself - just causes us loads of problems,[USER] [PLAYER] Only threat to cause any chances though,disagrees_with_the_post
