,Unnamed: 0,ACT_cnt,Rep_cnt,ACT_text_abuse_prob,Rep_ID,rounds,abusive_speech,counter_speech,label,rep_support_final,rep_abusive_final,rep_category_notes,ACT_text_notes,rep_notes
18,2457,ACT_2156,reply_2,0.96473086,1485370966339465216,R5,"Why does [PLAYER] posting anything about his religion have to do with anything? This fanbase is a bit of a joke at this point. Let the man live, you pieces of shit! [URL]",[USER] [PLAYER] They Hate Him Unnecessarily,disagrees_with_the_post,no,no,,,
19,875,ACT_2235,reply_1,0.9876945,1497693428171292672,R4,[PLAYER] bro you’re shit,[USER] [PLAYER] Best goal keeper in the prem,agrees_with_the_post,no,no,,,
20,220,ACT_420,reply_1,0.99645138,1428783037421129728,R4,[USER] [USER] [PLAYER] [CLUB] Go suck a d*#,[USER] [USER] [PLAYER] [CLUB] what's a d asterisk pound sign? :S,disagrees_with_the_post,no,no,,,
21,3168,ACT_5442,reply_1,0.75300229,1448007160244342784,R5,Well done Lard arse [PLAYER],[USER] [PLAYER] Sir this is quite hypocritical as you are a very obese man yourself,disagrees_with_the_post,no,no,,,
22,3735,ACT_1158,reply_1,0.88455695,1494333901061251072,R3,"[PLAYER] Hendo: ""Get the farg away from me and my family you strange man!""",[USER] [PLAYER] You try to be funny?,disagrees_with_the_post,no,no,,,
23,6864,ACT_5132,reply_1,0.54493898,1431217721929252864,R6,[USER] [USER] [USER] [USER] [USER] [PLAYER] [CLUB] Your a joke 'fan' slagging off a fam jsut because they don't get the chance to Iive as close as you is disgusting mate. Be grateful a player like the goat even gave you 6 years 3 titles and a champions league you spoiled invalid,"[USER] [USER] [USER] [USER] [USER] [PLAYER] [CLUB] Yes I am slagging off a ""fan"" who lives in a foreign country.",disagrees_with_the_post,no,no,,,
24,3034,ACT_4878,reply_2,0.89486963,1503857860396126208,R5,You re just tooooooooooo useless this season and you can get the fuck out of the team if you like 😡 I guess the MBE makes you feel like you re too important😡😡😡😡 Useless player 😡😡😡😡😡[PLAYER],[USER] [PLAYER] Please how many useless player play for ur team abi nah only rashford,disagrees_with_the_post,no,no,,,
25,742,ACT_1877,reply_1,0.77262837,1487739375752470528,R4,"If you haven’t unfollowed [PLAYER] yet what on Earth are you still thinking!!!  For as long as I breath this “boy” will have no place our club, mouths, heart!! Only weak ass men who agree with masons actions will stand by him.  Disgusting, shameful and WEEAAAK.",[USER] [PLAYER] Absolute scum,agrees_with_the_post,no,yes,,,
26,1376,ACT_3727,reply_1,0.98837459,1487830472575098880,R4,[PLAYER] Motherf#cker rapist lol hahaha,[USER] [PLAYER] Not funny,agrees_with_the_post,no,no,,,
27,763,ACT_1934,reply_1,0.967067,1445058763812130816,R4,[PLAYER] [CLUB] Come back snake :),[USER] [PLAYER] [CLUB] No need for him pal,agrees_with_the_post,no,no,,,
28,6027,ACT_3027,reply_3,0.68702888,1490994919825362688,R6,OH HELLLLLLLLL NAH … any human that can act like [PLAYER] did to an animal is a TERRIBLE HUMAN….. [URL],[USER] [PLAYER] I volunteer for a animal charity in my spare time and the Zouma vid is just disgusting to watch,agrees_with_the_post,no,no,,,
29,4084,ACT_3080,reply_1,0.89843184,1472909704405864448,R3,[PLAYER] [CLUB] Loser!,[USER] [PLAYER] [CLUB] This ain’t it ma’am. People believe you’re a nice person. You can do better.,disagrees_with_the_post,no,no,,,
30,1299,ACT_3484,reply_1,0.98507959,1487772196563038208,R4,[PLAYER] is a fucking rat. Career done ❌,[USER] [PLAYER] I’d have him at the Boro,disagrees_with_the_post,no,no,,,
31,6428,ACT_4088,reply_15,0.95167977,1490836922821979904,R6,Nothing infuriates me more than cruelty to innocent animals. [PLAYER] you are a vile human being.,[USER] [PLAYER] Absolutely disgusting what a vile mess of a human you are [PLAYER] you have to take action and rip hes contract up [CLUB] and he needs charging with animal cruelty what a scumbag.,agrees_with_the_post,no,yes,,,
32,5059,ACT_689,reply_4,0.51004332,1439710677447450624,R6,[PLAYER] Leave my club please,[USER] [PLAYER] You’re a reactionary fan- you leave lmao,disagrees_with_the_post,no,no,,,
33,2408,ACT_1910,reply_1,0.98982847,1465052467146547200,R5,[PLAYER] You’re a fraud Penaldo,[USER] [PLAYER] Reps Pessi,disagrees_with_the_post,no,no,,,
34,404,ACT_938,reply_1,0.99761593,1487728794651738112,R4,Was it worth ruining your career [PLAYER]?! you disgusting vile human,[USER] [PLAYER] He's sick in the head man,agrees_with_the_post,no,no,,,
35,5969,ACT_2891,reply_6,0.71738046,1491484344128622336,R6,[PLAYER] Where's your WC Qualification 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭 Where's Your WC Qualification 😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱 Where's Your WC Qualification😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡 [URL],"[USER] [PLAYER] wheres ur ""goats"" farmers league 3rd goal 🤣🤣🤣🤣🤣🤣",disagrees_with_the_post,no,no,Y,,Y
36,374,ACT_850,reply_1,0.97500414,1498792022576181248,R4,.[PLAYER] i hate your guts,[USER] [PLAYER] Inevitable player. I LOVE YOU TAMMY IGNORE MUTH,agrees_with_the_post,no,no,,,
37,34,ACT_3276,reply_1,0.92930657,1467212867770400768,R4,[PLAYER] [USER] 💩,[USER] [PLAYER] [USER] Can’t believe he didn’t square it 😭,disagrees_with_the_post,no,no,,,
38,3217,ACT_220,reply_3,0.98855186,1440783018658959104,R5,"Get Anthony Martial out of Manchester United. I’m sick of his lazy, selfish USELESS performances. All of our fans seem to suck him off. HES SO BAD. [PLAYER] LEAVE OUR [CLUB] YOU USELESS FUCK.",[USER] [PLAYER] Meanwhile dom is sitting on his bed eating some monster munch. Jk,disagrees_with_the_post,no,no,,,
39,1948,ACT_5452,reply_1,0.85453808,1504168405825470464,R4,The fuck is wrong with you? [PLAYER] This guys is losing my respect. You can just fuck off if you are building a attitude like that.,"[USER] [PLAYER] It’s embarrassing from the people directing abuse at him, if there’s continuous abuse directed then anyone would react the way Marcus did. See both sides of the coin chootay. Rashy did nothing wrong. I back him. [URL]",disagrees_with_the_post,yes,no,,,
40,3628,ACT_547,reply_1,0.7263909,1430499344285896704,R3,Shame on you Shame on you [PLAYER] [URL],"[USER] [PLAYER] both clubs, same story [URL]",agrees_with_the_post,no,no,,,
41,1554,ACT_4254,reply_1,0.78502882,1430918236044812288,R4,[USER] [USER] [CLUB] [PLAYER] Where's Chelshit?,[USER] [USER] [CLUB] [PLAYER] This oil companies are clear,agrees_with_the_post,no,no,,,
42,2190,ACT_966,reply_2,0.98690856,1487352920932814848,R5,[PLAYER] Scumbag [URL],"[USER] [PLAYER] You lot aren’t ok in the head, what about the Irish teenagers torn to shreds in the trenches of the First World War?",disagrees_with_the_post,no,no,,,
43,3295,ACT_1439,reply_3,0.84311634,1498738912826904320,R5,"No pashun merchant brexit merchants follow me so I can finally unleash my hate on #19. Get a trim, learn how to pass, learn how to finish you useless white Willian regen [PLAYER] .","[USER] [PLAYER] Dfkm 😭 You're backkkk, missed your rants ngl",agrees_with_the_post,no,no,,,
44,1524,ACT_4164,reply_1,0.98622394,1479891021945311232,R4,"[PLAYER] Deserves to be treated so much better by this foolishly arrogant piece of trash [USER] who is actively trying to ruin my club, ex man shitty loser that he is.",2 dedicated cm's...so this thicko [USER] thinks needlessly loaning [PLAYER] is productive 🤦🤪😴,agrees_with_the_post,no,no,,,
45,3911,ACT_2100,reply_1,0.97111332,1487901376529276928,R3,[PLAYER] if it’s true (and I rly hope it isn’t) you disgust me.,[USER] [PLAYER] It is bro,agrees_with_the_post,no,no,,,
46,1870,ACT_5210,reply_1,0.99731076,1428783087450836736,R4,[USER] [USER] [PLAYER] [CLUB] Fuck off then,[USER] [USER] [PLAYER] [CLUB] Mad?,disagrees_with_the_post,no,no,,,
47,2092,ACT_480,reply_1,0.99610859,1479267120923955200,R5,[PLAYER] [CLUB] [BODY] You're shit,[USER] [PLAYER] [CLUB] [BODY] lmfaooo [URL],agrees_with_the_post,no,no,,,
48,2876,ACT_4104,reply_2,0.73240948,1465069037478686720,R5,[PLAYER] [CLUB] Spit on me,[USER] [PLAYER] [CLUB] Ayo😭,disagrees_with_the_post,no,no,,,
49,5403,ACT_1519,reply_12,0.99229211,1436291623785221888,R6,I hate you [PLAYER] [URL],[USER] [PLAYER] Jota in his million pound house seeing this [URL],other,no,no,,,
50,2754,ACT_3452,reply_2,0.99156684,1456574584891785216,R5,"How does this twat get airtime [USER] , literally kills him to praise #LFC and [PLAYER] … do you yourself a favour and fuck off will ye soft lad","[USER] [USER] [PLAYER] What do you expect he talks on talkshite, he and the others talkshit most of the time, they have an Agenda against liverpool and the players",disagrees_with_the_post,no,no,,,
51,3835,ACT_1675,reply_1,0.75150836,1475132455787151104,R3,Fuck you [PLAYER] celebrating in front of the club that made who you are today!!,[USER] [PLAYER] you lot booed him last time he played😂 cry all you want but it’s your fans fault,disagrees_with_the_post,no,no,,,
52,2464,ACT_2181,reply_1,0.97556973,1477990949640978432,R5,[PLAYER] [CLUB] Get that so called ‘captain’ out of my club. Dirty little rat with 0 ball ability.,[USER] [PLAYER] [CLUB] he played better than most of our team dumb fuck,disagrees_with_the_post,yes,yes,,,
53,424,ACT_978,reply_1,0.85512519,1498021816543023104,R4,Blood on your hands [PLAYER] [PLAYER],[USER] [PLAYER] [PLAYER] Relax. This Cup ain’t that big of a deal. Luck wasn’t on our side. You win some u lose some. We move.,disagrees_with_the_post,no,no,,,
54,5262,ACT_1181,reply_6,0.99257612,1495075078618419200,R6,FUCK YOU [PLAYER] [URL],[USER] [PLAYER] You still have time to edit your caption,disagrees_with_the_post,no,no,,,
55,104,ACT_88,reply_1,0.85701162,1490991378775617536,R4,What a vile specimen [PLAYER] & his brother is. The cats should be taken away by the RSPCA. Who knows what other cruelty has been inflicted on those poor cats. Often animal abusers go on to abuse women & children. It's a common pattern of behaviour. [CLUB],"[USER] [PLAYER] [CLUB] With you fully on this. Absolutely no reason, nor excuse for anyone to behave this way towards a dumb animal",agrees_with_the_post,no,no,,,
56,4646,ACT_1732,reply_1,0.99756622,1462345803373158400,R1,[PLAYER] still cupping ya ears ya big dopey twat? Only thing ya should be cupping now is a cup a tea before ya put yaself to bed ya big fucking div. [URL],[USER] [PLAYER] Twiggy 😂😂,other,no,no,,,
57,1327,ACT_3575,reply_1,0.93733299,1489991136072519680,R4,[PLAYER] shut up mannn,[USER] [PLAYER] he’s so annoying rn,agrees_with_the_post,no,no,,,
58,2720,ACT_3296,reply_1,0.9865455,1473978806595686400,R5,[PLAYER] [CLUB] You are absolutely fucking useless mate,"[USER] [PLAYER] [CLUB] People like you shouldn’t be on twitter, you wouldn’t be any better. He’s a great player. Everyone has bad moments.",disagrees_with_the_post,no,no,,,
59,6091,ACT_3133,reply_17,0.99103022,1489970176367857664,R6,These are the type of players that we want out of the club immediately.. You're a disgrace [PLAYER],"[USER] [PLAYER] I don't get it, he was not getting any game time at all and wanted to leave it was mutually beneficial for both parties, just because the club couldn't negotiate a deal hes a disgrace?",disagrees_with_the_post,no,no,,,
60,430,ACT_995,reply_1,0.88575,1495122696966917888,R4,[PLAYER] Sign permanently coward,[USER] [PLAYER] warra point for villa today!,agrees_with_the_post,no,no,,,
61,4198,ACT_3714,reply_1,0.94203281,1487755322181791488,R3,Feel sick we have someone like that at the club. [PLAYER] disgusting.,[USER] [PLAYER] well we had best and giggs too.,disagrees_with_the_post,no,no,,,
62,4331,ACT_4432,reply_1,0.9757278,1478066000637710336,R3,"[PLAYER] please fuck off out of this club, cheers👍🏻","[USER] [PLAYER] odd behaviour this, brother",disagrees_with_the_post,no,no,,,
63,86,ACT_25,reply_1,0.81455183,1491140313867783936,R4,In an ideal world [PLAYER] would suffer a broken leg tonight. What a despicable cowardly man. As for #davidmoyes & [CLUB] decision to play him is just as mind boggling. Does football have any morals left? #Zouma #ZoumaOut #scum,[USER] [PLAYER] [CLUB] Hear Hear!,agrees_with_the_post,no,no,,,
64,6202,ACT_3426,reply_8,0.60235429,1491110033564008448,R6,"[PLAYER] you're a real p.o.s , what you did to that cat was discusting [URL]",[USER] [PLAYER] Help the people sleeping on the road. 🙏please save them. 😪😭[URL],disagrees_with_the_post,no,no,,,
65,6148,ACT_3248,reply_2,0.64576399,1440781478778966016,R6,A bastard is gonna leave the club soon and it aint gonna be you my boy [PLAYER]. [URL],"[USER] [PLAYER] i really want him to leave, he deserves so much better",disagrees_with_the_post,no,no,,,
66,3596,ACT_350,reply_1,0.99042016,1487853721400889088,R3,Fuck you [PLAYER],[USER] [PLAYER] Ong fuck [PLAYER],disagrees_with_the_post,no,no,,,
67,2599,ACT_2724,reply_2,0.94126296,1479166682023219200,R5,this fucker is so lucky [PLAYER] is always there - whenever he can - to clean his mess. idiot,[USER] [PLAYER] Has to be involved in some sort of match fixing how could a £80M Defender be that Awful,disagrees_with_the_post,no,no,,,
68,2067,ACT_336,reply_1,0.97836989,1468163931692847104,R5,"Pay your taxes in the same manner as your minimum wage employees, you hypocritical twat. Oh, & tell us now you won’t be raking it in, alongside [PLAYER] & Co, in Qatar. The hypocrisy of you entitled, up your own arse, chicken chokers makes me sick. #manypartiesinmanchester",[USER] [PLAYER] I was going to say that,disagrees_with_the_post,no,no,,,
69,1323,ACT_3568,reply_1,0.95700288,1465922173516881920,R4,You are a disgrace [PLAYER] ! You will always remain in messi's shadow. Either rejoice it or lead your rest of life in the misery!,[USER] [PLAYER] You are a disgrace to your parents,agrees_with_the_post,no,no,,,
70,3502,ACT_5177,reply_5,0.95660686,1464034857361813504,R5,[PLAYER] [CLUB] Oh my god I can’t fucking stand you,[USER] [PLAYER] [CLUB] Another stupid kid on Twitter. Liverpool doesn’t want you. Walk on your own. Blocked!,disagrees_with_the_post,no,no,,,
71,5709,ACT_2347,reply_13,0.97285706,1490861986963501056,R6,"Im absolutely fuming seeing this man… Beating on a helpless defenseless cat, sick vile person [PLAYER]",[USER] [PLAYER] Half a day off twitter and this is what I come back to see...,disagrees_with_the_post,no,no,,,
72,953,ACT_2460,reply_1,0.7853756,1444121721586454528,R4,"That's how you go to the second floor, you dwarf [PLAYER] 🤣🤣🤣🤣🤏🏿🤏🏿🤏🏿 [URL]",[USER] [PLAYER] dwarf هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه 😭😭😭😭😭,other,no,no,,,
73,4281,ACT_4163,reply_1,0.86615336,1459601963402759936,R3,[PLAYER] [BODY] Piss in my mouth daddy,[USER] [PLAYER] [BODY] I do it if you want,disagrees_with_the_post,yes,no,,,
74,2904,ACT_4258,reply_2,0.98791444,1486955793182244864,R5,[PLAYER] [USER] NFTs are a load of 💩💩💩,[USER] [PLAYER] [USER] NFTs are cool. JPEG NFTs are a totally pointless thing imo. Eg this. Totally pointless. Better off getting a poster off EBay for 10p.,disagrees_with_the_post,no,no,,,
75,3944,ACT_2293,reply_1,0.77158123,1476552571141644288,R3,[PLAYER] [CLUB] Shaw is clear if u nerd,[USER] [PLAYER] [CLUB] Ratio,disagrees_with_the_post,no,no,,,
76,5057,ACT_689,reply_1,0.51004332,1439688343567183872,R6,[PLAYER] Leave my club please,[USER] [PLAYER] Somethings are outside football. Then again you won’t know because u have no life outside football.,disagrees_with_the_post,no,no,,,
77,2964,ACT_4561,reply_2,0.99757951,1439619190751744000,R5,leave my club you shit cunt [PLAYER] [URL],[USER] [PLAYER] Tbf he’s just supporting a former teammate,disagrees_with_the_post,no,no,,,
78,5708,ACT_2347,reply_11,0.97285706,1490838222108491520,R6,"Im absolutely fuming seeing this man… Beating on a helpless defenseless cat, sick vile person [PLAYER]",[USER] [PLAYER] Makes me so angry seeing this (being an animal lover.) Disgusting bloke,disagrees_with_the_post,no,no,,,
79,3280,ACT_1178,reply_4,0.97221923,1464083724220260352,R5,Fuck off with him [PLAYER]  Hope this helps,[USER] [PLAYER] No it doesnt help. He is going to be crucial for us in the future.,disagrees_with_the_post,no,no,,,
80,4301,ACT_4271,reply_1,0.93983823,1488603780421767168,R3,[PLAYER] [USER] [CLUB] Hello african gay,[USER] [PLAYER] [CLUB] Hi,disagrees_with_the_post,no,no,,,
81,4432,ACT_5101,reply_1,0.98361939,1493252912558001920,R3,[PLAYER] leave my club you Spanish bufoon,[USER] [PLAYER] LeAvE mY cLuB yOu oh ffs get bent mate,disagrees_with_the_post,no,no,,,
82,2849,ACT_3972,reply_1,0.97317308,1488133851297849088,R5,I’m happy for [PLAYER] they tried to make him a scapegoat for Arteta ol trash ass HC,[USER] [PLAYER] lool or maybe Auba was actually taking the piss and Arteta put his foot down.,disagrees_with_the_post,no,no,,,
83,4316,ACT_4355,reply_1,0.94761443,1490838849546637312,R3,Soooo.... Find joy and laughter kicking Cats around your house do you [PLAYER]? Fucking deplorable you are... Good fucking riddance.. You should be fucking ashamed of yourself....,[USER] [PLAYER] For kicking a cat??,disagrees_with_the_post,no,no,,,
84,2176,ACT_905,reply_2,0.99318862,1491143212538294272,R5,Fuck [PLAYER] Fuck [CLUB] Fuck #Greenwood Fuck [USER] Fuck [USER] Fuck [USER] Fuck [USER] Anybody else?,[USER] [PLAYER] [CLUB] [USER] [USER] [USER] [USER] That’s about it for now,disagrees_with_the_post,no,no,,,
85,1678,ACT_4628,reply_1,0.99015093,1462728111938752512,R4,[PLAYER] Ole’s job was safe and intact until you joined Manchester United. Shut up you fraud.,[USER] [PLAYER] Na ay3 di3n Ah by now u haven’t eaten self Tsew,other,no,no,,,
86,532,ACT_1350,reply_1,0.97837847,1490821606742294528,R4,That footage of [PLAYER] is vile and disgusting. Who on earth does something like that?! He's only sorry because he got caught. If you're a brand in anyway associated with him you should drop him like a stone. Scumbag.,[USER] [PLAYER] Don't care how good he is. Don't want him at my club anymore.,agrees_with_the_post,no,no,,,
87,5952,ACT_2811,reply_4,0.65325499,1439519140109291520,R6,[PLAYER] [USER] Aside FPL I don’t think I’d like u,[USER] [PLAYER] [USER] I'm a man united fan but you just have to like greatness.,disagrees_with_the_post,no,no,,,
88,5329,ACT_1324,reply_5,0.60847425,1491144669941895168,R6,I’m hearing the scumbag [PLAYER] is a patron of a lion sanctuary? I suggest if he ever wants to play football in this country again he goes into the sanctuary and volleys a fully grown lion? Then I will forgive him,[USER] [PLAYER] I can’t believe West Ham are actually playing him tonight saying that they’ll deal with it afterwards. What sort of message is that sending out?,other,no,no,,,
89,6848,ACT_5071,reply_20,0.63079476,1490954924028358656,R6,West Ham player [PLAYER] filmed violently kicking his cat. Doesn’t he understand difference between a simple animal and a football? Horrible man should be prosecuted,"[USER] [PLAYER] Careful Andy, nearly all of West Ham supporters vote tory…",disagrees_with_the_post,no,no,,,
90,2663,ACT_3050,reply_2,0.93364739,1428760826261934080,R5,Words cannot describe how much hate I have for you [PLAYER],"[USER] [PLAYER] Can't imagine I follow this imbecile, damn.",disagrees_with_the_post,no,no,,,
91,1324,ACT_3569,reply_1,0.99610549,1496573271353012224,R4,[PLAYER] [USER] Oi u cunt u don’t play for them,[USER] [PLAYER] [USER] It’s his parent club calm down,agrees_with_the_post,no,no,,,
92,1346,ACT_3626,reply_1,0.97113985,1476200766599843840,R4,[PLAYER] You’re shit pal,[USER] [PLAYER] Ur rattled?,agrees_with_the_post,no,no,,,
93,1559,ACT_4273,reply_1,0.9252798,1487838927981584384,R4,[PLAYER] Probably how your Mrs reacted when you slapped her. You are SCUM. To think kids don't understand what you are but will still wear their shirts with your name on.,[USER] [PLAYER] We’re burning ours,agrees_with_the_post,no,no,,,
94,18,ACT_2157,reply_1,0.99601823,1431115347294294016,R4,Get the fuck out of our club ....u think we r bums? FUCK OFF [PLAYER],[USER] [PLAYER] I know you love cr7,disagrees_with_the_post,no,no,,,
95,1191,ACT_3180,reply_1,0.98704821,1490950621511687936,R4,I find this absolutely shocking. I hope [PLAYER] is prosecuted for this. What a complete scumbag.,[USER] [PLAYER] The kids. Awful.,agrees_with_the_post,no,no,,,
96,4222,ACT_3850,reply_1,0.96296513,1475153476430802688,R3,4-3 down and you’ve [PLAYER] on the bench and you don’t bring him on.. brenda ya shit fuck 😂,[USER] [PLAYER] Think he is carrying a injury.,disagrees_with_the_post,yes,no,,,
97,2801,ACT_3708,reply_2,0.78032297,1489638647188054016,R5,"[PLAYER] How about keeping more than one Clean Sheet mf? If you're put in the transfer list, nobody, I mean, NO[BODY]YYY is gonna come in for you. That's how shit you are.",[USER] [PLAYER] This you d*ckhead? [URL],disagrees_with_the_post,no,no,,,
98,5105,ACT_839,reply_1,0.61655605,1491167023740907520,R6,"Just seen the video of [PLAYER] kicking and slapping his cat. I’m angry, sickened and so sad. How anyone can do this to an animal is beyond me. Horrible human. #KurtZoumaAnimalAbuser",[USER] [PLAYER] You’re right - but you address him as human? You’re being very kind!!,disagrees_with_the_post,no,no,,,
99,5279,ACT_1198,reply_12,0.698089,1447157015894183936,R6,I hate depression....x [USER] [PLAYER] [URL],"[USER] [PLAYER] I love you baby. Always here if you need to talk, whether about this or just some nonsense to get your mind off stuff. Inbox always open to you mate. All love my dear xxx",disagrees_with_the_post,no,no,,,
100,4184,ACT_3633,reply_1,0.9855473,1501307867495747584,R3,[PLAYER] do you realise I’ve got £365 bet on you silly prick,[USER] [PLAYER] rip,other,no,no,,,
101,2949,ACT_4491,reply_2,0.80130738,1438398910834352128,R5,[PLAYER] [CLUB] Ur bad greenwood betta,[USER] [PLAYER] [CLUB] Ratio,disagrees_with_the_post,no,no,,,
102,5568,ACT_1985,reply_1,0.51528704,1444716136969482240,R6,[PLAYER] didn’t fancy being a prick today did you? [URL],[USER] [PLAYER] Can say the same to your Egypt wanker [URL],disagrees_with_the_post,no,no,,,
103,5201,ACT_1039,reply_10,0.60568696,1484977592419639296,R6,[PLAYER] [CLUB] No ye don’t ye fart if you did you wouldn’t celebrate like that,"[USER] [PLAYER] [CLUB] Fuck off ya twat, he got pushed out and you lot booed him all game. Surprised he’s been this good to you",disagrees_with_the_post,no,no,,,
104,4782,ACT_191,reply_1,0.53905618,1433890803710038016,R6,[PLAYER] Racisme has a face: [URL],[PLAYER] And the one who trow's it also [URL],disagrees_with_the_post,no,no,,,
105,5204,ACT_1039,reply_13,0.60568696,1484991781624324096,R6,[PLAYER] [CLUB] No ye don’t ye fart if you did you wouldn’t celebrate like that,"[USER] [PLAYER] [CLUB] Literally hugged his teammates, making out like he went full adebayor, just admit your fans are scum",disagrees_with_the_post,no,no,,,
106,1841,ACT_5140,reply_1,0.97623926,1487788827347460096,R4,[PLAYER] It’s spelt tennis you overrated fuck,[USER] [PLAYER] He's Spanish and bilingual so he can spell it the Spanish way if he wants,disagrees_with_the_post,no,no,,,
