Unnamed: 0,JB_review,ACT_ID,ACT_cnt,Rep_ID,Rep_cnt,ACT_text,ACT_text_normalised,rep_text,Rep_text_normalised,ACT_text_notes,reply category,JB reply category,reply support,JB reply support,reply abusive,JB reply abusive,rep_text_notes
2047,Priority,1430923122371268610,ACT_733,1430924459142258699,reply_1,@MarcusRashford recreate when that snake returns to OT https://t.co/hbhwMuh2jm,[PLAYER1] recreate when that snake returns to OT [URL],@UTDCJ_ @MarcusRashford What snake ?,[USER1] [PLAYER1] What snake ?,,,disagrees_with_the_post,,no,,no,
2147,Priority,1452558906790715394,ACT_813,1452559047782187008,reply_1,Maguire should be the first player to follow OLE out of the club the slabhead bastard. Leave the club you abysmal state of a footballer @HarryMaguire93,Maguire should be the first player to follow OLE out of the club the slabhead bastard. Leave the club you abysmal state of a footballer [PLAYER1],@UtdAlajoo @HarryMaguire93 Worst player in the premier league by far hth,[USER1] [PLAYER1] Worst player in the premier league by far hth,,,agrees_with_post,,no,,no,
2256,Priority,1437843910961868810,ACT_861,1437845124969533445,reply_1,I've said it once & I'll say it again @Fred08oficial is a FRAUD,I've said it once & I'll say it again [PLAYER1] is a FRAUD,@__Kabba_ @Fred08oficial Seeing Varane jam showed me how Lindelof is also a scrub. Need these 2 out of my club,[USER1] [PLAYER1] Seeing Varane jam showed me how Lindelof is also a scrub. Need these 2 out of my club,,agrees_with_the_post,agrees_with_the_post,no,no,no,no,
2460,Priority,1490902985698058242,ACT_956,1490904683829149698,reply_1,What utter trash @KurtZouma is for attacking a defenceless animal. I hope you’re investigating @RSPCA_official and have safely removed his pets? #lowestofthelow #RSPCA,What utter trash [PLAYER1] is for attacking a defenceless animal. I hope you’re investigating [USER1] and have safely removed his pets? #lowestofthelow #RSPCA,@ashleeleanne_x @KurtZouma @RSPCA_official meowww lovers,[USER1] [PLAYER1] [USER2] meowww lovers,,agrees_with_the_post,agrees_with_the_post,no,no,no,no,
2733,Priority,1496545247328931840,ACT_999,1496545389717164037,reply_1,@kaihavertz29 U r terrible,[PLAYER1] U r terrible,@don_rimo @kaihavertz29 Your dad left,[USER1] [PLAYER1] Your dad left,,disagrees_with_the_post,disagrees_with_the_post,no,no,no,no,
3185,Priority,1491779364152872961,ACT_1229,1492502330763272193,reply_1,"@KurtZouma a new day but NOT forgotten your ignorance - have u heard of RACISM?- well there is something called SPEICISM which means vile souls like u hurt another species IE A CAT you are revolting and I hope you loose your job, we used to support WH not now thanx to you https://t.co/TPgZgPLBEW","[PLAYER1] a new day but NOT forgotten your ignorance - have u heard of RACISM?- well there is something called SPEICISM which means vile souls like u hurt another species IE A CAT you are revolting and I hope you loose your job, we used to support WH not now thanx to you [URL]",@sorayasoraya55 @KurtZouma Looool and what was the need to mention racism here?,[USER1] [PLAYER1] Looool and what was the need to mention racism here?,,disagrees_with_the_post,disagrees_with_the_post,no,no,no,no,
3276,Priority,1475220292947619840,ACT_1309,1475220468282150931,reply_1,@FerranTorres20 Have fun in the Europa league you c**nt. not even a goodbye message to the fans that supported you. Ruined the legacy of the number 21 shirt,[PLAYER1] Have fun in the Europa league you c**nt. not even a goodbye message to the fans that supported you. Ruined the legacy of the number 21 shirt,@MCFCTrey @FerranTorres20 Shut up man,[USER1] [PLAYER1] Shut up man,,,disagrees_with_the_post,,no,,no,
3279,Priority,1487706006532599809,ACT_1326,1487735560034783232,reply_1,It's over for Mason Deadwood even before he has reached the level of Bukayo Saka. Shame on You @masongreenwood https://t.co/hFUOO2CUje,It's over for Mason Deadwood even before he has reached the level of Bukayo Saka. Shame on You [PLAYER1] [URL],"@AFCabuu @masongreenwood Please don't make this about football....the guy is a rapist and a piece of scum, let's keep the sport out of this","[USER1] [PLAYER1] Please don't make this about football....the guy is a rapist and a piece of scum, let's keep the sport out of this",,agrees_with_the_post,agrees_with_the_post,no,no,yes,yes,
4946,Priority,1434243502070710276,ACT_2000,1434243651434131458,reply_1,Watch this @VirgilvDijk you fucking waste man,Watch this [PLAYER1] you fucking waste man,@LeviSmith7 @VirgilvDijk Covid wasnt a thing back then,[USER1] [PLAYER1] Covid wasnt a thing back then,,,disagrees_with_the_post,,no,,no,
5432,Priority,1446610326049468419,ACT_2145,1446638160075710468,reply_1,@GarethBale11 you want to remove madrid from ur bio and fuck off to Newcastle they need to build something from scratch,[PLAYER1] you want to remove madrid from ur bio and fuck off to Newcastle they need to build something from scratch,@_Madridloyalist @GarethBale11 Madrid loyalist ok bud not even bale’s fault he’s not playing bozo,[USER1] [PLAYER1] Madrid loyalist ok bud not even bale’s fault he’s not playing bozo,,,disagrees_with_the_post,,no,,no,
5617,Priority,1475806481446367235,ACT_2254,1475928872306757651,reply_1,@D_DeGea @utdreport @ManUtd Shut d fuck up big man u guys are completely disgusting 🤢,[PLAYER1] [USER1] [CLUB] Shut d fuck up big man u guys are completely disgusting 🤢,@HON94941425 @D_DeGea @utdreport @ManUtd You be mumu if not for him we for don chop am,[USER1] [PLAYER1] [USER2] [CLUB] You be mumu if not for him we for don chop am,,,disagrees_with_the_post,,no,,no,
5688,Priority,1487767680681656328,ACT_2291,1487768587221745666,reply_1,@masongreenwood is a wasteman 🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾pass it on,[PLAYER1] is a wasteman 🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾pass it on,@DjJoshWeekes @masongreenwood He hurt u? lol 😂,[USER1] [PLAYER1] He hurt u? lol 😂,,,disagrees_with_the_post,,no,,no,
6007,Priority,1461444654755373067,ACT_2443,1461452713988870153,reply_1,@MoSalah Fucking cunt,[PLAYER1] Fucking cunt,@mufc_tiago @MoSalah Get a job mf,[USER1] [PLAYER1] Get a job mf,,disagrees_with_the_post,disagrees_with_the_post,no,no,no,no,
6244,Priority,1432669995130097666,ACT_2515,1432684283622158336,reply_1,@salimaoun1 @UtdKismet @ManUtd @Cristiano Go home MFCK! U dont belong here! Are u salty? 😂 go watch the farmers league,[USER1] [USER2] [CLUB] [PLAYER1] Go home MFCK! U dont belong here! Are u salty? 😂 go watch the farmers league,"@KapitulaTamara @salimaoun1 @UtdKismet @ManUtd @Cristiano Cooking is your sport, dw bout football","[USER1] [USER2] [USER3] [CLUB] [PLAYER1] Cooking is your sport, dw bout football",,agrees_with_the_post,disagrees_with_the_post,no,no,no,no,
6255,Priority,1452317122839949320,ACT_2519,1452320077643227142,reply_1,Well - get fucked @paulpogba #MUNLIV,Well - get fucked [PLAYER1] #MUNLIV,@LFC_PDX @paulpogba sucks I live an hour away or I'd be yelling it in the bar with y'all. YNWA,[USER1] [PLAYER1] sucks I live an hour away or I'd be yelling it in the bar with y'all. YNWA,,,agrees_with_the_post,,no,,no,
6302,Priority,1442132894399430662,ACT_2548,1442135121952329728,reply_1,R A U L !!!!!! @Raul_Jimenez9 🇲🇽 https://t.co/Bs9PuwadCi,R A U L !!!!!! [PLAYER1] 🇲🇽 [URL],@ElDanMan86 @Raul_Jimenez9 Excellent gol!,[USER1] [PLAYER1] Excellent gol!,not abusive,agrees_with_the_post,agrees_with_the_post,yes,yes,no,no,
6564,Priority,1492937164077809676,ACT_2676,1492937279261876229,reply_1,I have a bigger dick than you bozo @MoSalah,I have a bigger dick than you bozo [PLAYER1],@EsqueBilal @MoSalah Your children must be proud .. BUMHOLE,[USER1] [PLAYER1] Your children must be proud .. BUMHOLE,,,disagrees_with_the_post,,no,,no,
6579,Priority,1490988895722295298,ACT_2689,1490991147317362688,reply_1,"@KurtZouma get in the fucking bin you absolute scum bag, it would be a shame if someone accidentally kicked you & broke your legs when / if you ever get back on the football pitch!
 #KurtZoumaAnimalAbuser","[PLAYER1] get in the fucking bin you absolute scum bag, it would be a shame if someone accidentally kicked you & broke your legs when / if you ever get back on the football pitch! #KurtZoumaAnimalAbuser","@BarringtonMole @KurtZouma Somebody, please save this poor cat. This makes me sick.","[USER1] [PLAYER1] Somebody, please save this poor cat. This makes me sick.",,,agrees_with_the_post,,no,,no,
6638,Priority,1491401140524630018,ACT_2739,1491402471063064579,reply_1,@KurtZouma - You are a disgrace to the human race. You are a despicable excuse for a human being. You are an animal abuser. But dont worry Karma is a bitch and you will pay for your cruelty #KurtZouma,[PLAYER1] - You are a disgrace to the human race. You are a despicable excuse for a human being. You are an animal abuser. But dont worry Karma is a bitch and you will pay for your cruelty #KurtZouma,@felinefanclub_ @KurtZouma This footballer needs sacking...disgrace...,[USER1] [PLAYER1] This footballer needs sacking...disgrace...,,agrees_with_the_post,agrees_with_the_post,no,no,no,no,
6667,Priority,1491379385123086338,ACT_2757,1491385889666179076,reply_1,"I see the @KurtZouma kicking a poor defenceless animal across the room has been turned into a race row. The truth is, he is a cruel b**tard and simply has to be sacked by @WestHam. Wherever he plays now will result in him getting abuse. Kurt, if youre reading this, resign today.","I see the [PLAYER1] kicking a poor defenceless animal across the room has been turned into a race row. The truth is, he is a cruel b**tard and simply has to be sacked by [CLUB]. Wherever he plays now will result in him getting abuse. Kurt, if youre reading this, resign today.","@Andycm2s @KurtZouma @WestHam As a nation we tend to forgive and forget the misdemeanours of politicians, celebrities, sportsmen (and women) etc, but as nation of animal lovers, hmm not so much. His actions will live with him and us for a very long time!","[USER1] [PLAYER1] [CLUB] As a nation we tend to forgive and forget the misdemeanours of politicians, celebrities, sportsmen (and women) etc, but as nation of animal lovers, hmm not so much. His actions will live with him and us for a very long time!",,agrees_with_the_post,agrees_with_the_post,no,no,no,no,
6769,Priority,1477265826822688773,ACT_2798,1477266264045367298,reply_1,"@Calteck10 I hope you are watching this is how to finish you bozo
 https://t.co/CuVIz6eTNp",[PLAYER1] I hope you are watching this is how to finish you bozo [URL],@chelseafc809 @Calteck10 No hermano I beg for 120K a week for doing nothing!,[USER1] [PLAYER1] No hermano I beg for 120K a week for doing nothing!,,,agrees_with_the_post,,no,,no,
6887,Priority,1437850952304836608,ACT_2893,1437851927711297537,reply_1,Bissaka is a fool! @awbissaka,Bissaka is a fool! [PLAYER1],@Nyangasa_MA @awbissaka Hizo habari hatuzifahamu sisi,[USER1] [PLAYER1] Hizo habari hatuzifahamu sisi,not English,,,,,,,reply not in english
7133,Priority,1487723739445874688,ACT_3044,1487732242864611328,reply_1,@masongreenwood you are one disgusting human being,[PLAYER1] you are one disgusting human being,@OliverTHFC1 @masongreenwood Hope he rots in prison,[USER1] [PLAYER1] Hope he rots in prison,,,agrees_with_the_post,,no,,no,
7147,Priority,1428757544424587273,ACT_3050,1428757908930584579,reply_1,Words cannot describe how much hate I have for you @KurtZouma,Words cannot describe how much hate I have for you [PLAYER1],@romeIuIukakuu @KurtZouma if your racist just say so,[USER1] [PLAYER1] if your racist just say so,,,disagrees_with_the_post,,no,,no,
7350,Priority,1489885204835713024,ACT_3133,1489885295206141952,reply_1,"These are the type of players that we want out of the club immediately.. 
 

 You're a disgrace @JesseLingard",These are the type of players that we want out of the club immediately.. You're a disgrace [PLAYER1],@AidanWalshMUFC @JesseLingard Get rid of that dancing merchant asap,[USER1] [PLAYER1] Get rid of that dancing merchant asap,,,agrees_with_the_post,,no,,no,
7353,Priority,1487129931922522113,ACT_3139,1487131956240343048,reply_1,Please lose your passport you wanker @C___Clark,Please lose your passport you wanker [PLAYER1],@PaulDayNew @C___Clark He’s finished at the club mate 😂,[USER1] [PLAYER1] He’s finished at the club mate 😂,,,agrees_with_the_post,,no,,no,
7362,Priority,1490940492363689987,ACT_3156,1491086702286602243,reply_1,"Just wanna say as a West Ham season ticket holder and supporter, @KurtZouma you horrible cunt","Just wanna say as a West Ham season ticket holder and supporter, [PLAYER1] you horrible cunt","@DeanRoof @KurtZouma He is a pretty low level guy tbh, put frankly, a detestable piece of shit.","[USER1] [PLAYER1] He is a pretty low level guy tbh, put frankly, a detestable piece of shit.",,,agrees_with_the_post,,no,,yes,reply is abusive towards footballer not poster
7392,Priority,1494396351970480130,ACT_3164,1494396477019508738,reply_1,You deserve no respect @HarryMaguire93,You deserve no respect [PLAYER1],@azidinho @HarryMaguire93 nothing but failure to his club,[USER1] [PLAYER1] nothing but failure to his club,,,agrees_with_the_post,,no,,no,
8128,Priority,1457384894020128774,ACT_3617,1457519533183442945,reply_1,@OfficialTM_3 You’re next bozo https://t.co/DAFq3q061w,[PLAYER1] You’re next bozo [URL],@WazeUTV @OfficialTM_3 wtf man why r u so horrible to ur own team?,[USER1] [PLAYER1] wtf man why r u so horrible to ur own team?,,disagrees_with_the_post,disagrees_with_the_post,no,no,no,no,
8204,Priority,1428784735724003331,ACT_3669,1428785155938922500,reply_1,"@Kinneas92 @snowhill_j @AaronRamsdale98 @Arsenal You'll NEVER be an Arsenal fan alright? You're an internet troll, that's all you are. So give up any delusions that you might have about being an Arsenal fan. You're a blemish on the club.","[USER1] [USER2] [PLAYER1] [CLUB] You'll NEVER be an Arsenal fan alright? You're an internet troll, that's all you are. So give up any delusions that you might have about being an Arsenal fan. You're a blemish on the club.","@maan_child @snowhill_j @AaronRamsdale98 @Arsenal More of a fan than you'll ever be.
 

 Learn what a troll is.",[USER1] [USER2] [PLAYER1] [CLUB] More of a fan than you'll ever be. Learn what a troll is.,post does not target footballer,,disagrees_with_post,,no,,no,
8286,Priority,1450934330969165831,ACT_3741,1450939093861474307,reply_1,@fernandinho You’re bald,[PLAYER1] You’re bald,@SznTelles @fernandinho He's not lol,[USER1] [PLAYER1] He's not lol,,,disagrees_with_the_post,,no,,no,
8356,Priority,1434567633588965376,ACT_3779,1434584170341228559,reply_1,@AhmedullahSana @Andyk23Andy @RyanLees20 @TacticalReds_ @England @JesseLingard He's just an ungrateful twat lad 😂,[USER1] [USER2] [USER3] [USER4] [BODY] [PLAYER1] He's just an ungrateful twat lad 😂,@KianJb3 @Andyk23Andy @RyanLees20 @TacticalReds_ @England @JesseLingard Deserves the ratio,[USER1] [USER2] [USER3] [USER4] [BODY] [PLAYER1] Deserves the ratio,,,agrees_with_the_post,,no,,no,"Difficult to really tell, depends who he is referring to"
8515,Priority,1491123367474532355,ACT_3914,1491126804836679685,reply_1,Do we want scum like this in our society? Someone who can do this is capable of anything! @KurtZouma is a disgrace to society. Vile scum bag,Do we want scum like this in our society? Someone who can do this is capable of anything! [PLAYER1] is a disgrace to society. Vile scum bag,@mjofficial @KurtZouma @KurtZouma you fucking cock womble,[USER1] [PLAYER1] [PLAYER2] you fucking cock womble,,agrees_with_the_post,agrees_with_the_post,no,no,yes,yes,
8556,Priority,1490239224536256515,ACT_3927,1490239301635883008,reply_1,@HarryMaguire93 Harry fuck you you always cist us,[PLAYER1] Harry fuck you you always cist us,@AbdiazizHarera @HarryMaguire93 Have some respect,[USER1] [PLAYER1] Have some respect,,,disagrees_with_the_post,,no,,no,
8659,Priority,1490818699779092500,ACT_3981,1491013793853362176,reply_1,@KurtZouma abusing defenceless animals is the lowest of the low. You are absolutely disgusting.,[PLAYER1] abusing defenceless animals is the lowest of the low. You are absolutely disgusting.,@sweetcheeks2024 @KurtZouma Disgusting.,[USER1] [PLAYER1] Disgusting.,,agrees_with_the_post,agrees_with_the_post,no,no,no,no,
8800,Priority,1456033831895580677,ACT_4041,1456035372887052290,reply_1,"My Gawd @TrentAA is a f**king right back bro.
 

 @kwekujollof @kwame_rapture @jemapelleikhlas @GerhartOppong @Will_9090 @iamkofy",My Gawd [PLAYER1] is a f**king right back bro. [USER1] [USER2] [USER3] [USER4] [USER5] [USER6],@Mista_FOKA @TrentAA @kwame_rapture @jemapelleikhlas @GerhartOppong @Will_9090 @iamkofy Ooh lol now u people got stats?,[USER1] [PLAYER1] [USER2] [USER3] [USER4] [USER5] [USER6] Ooh lol now u people got stats?,,disagrees_with_the_post,disagrees_with_the_post,no,no,no,no,
8857,Priority,1503765343931613187,ACT_4080,1503766170591186945,reply_1,@paulpogba make i let you know now if you disgrace your gorimakpa head this night you no go hear from me again,[PLAYER1] make i let you know now if you disgrace your gorimakpa head this night you no go hear from me again,"@uncleblaak @paulpogba Na lie
 You can't do it",[USER1] [PLAYER1] Na lie You can't do it,,,disagrees_with_the_post,,no,,no,
9306,Priority,1488184345009479681,ACT_4167,1488184826528210947,reply_1,What the fucking fuck is stopping the lingard deal. Everybody wants it. Sort it oot man you little black and white buggers… #NUFC @JesseLingard @nufc,What the fucking fuck is stopping the lingard deal. Everybody wants it. Sort it oot man you little black and white buggers… #NUFC [PLAYER1] [CLUB],@sluicesnorky @JesseLingard @NUFC Man U don't seem to want it.,[USER1] [PLAYER1] [CLUB] Man U don't seem to want it.,Not abusive,disagrees_with_the_post,agrees_with_the_post,no,no,no,no,
10363,Priority,1469748430331285505,ACT_4224,1469748814693257227,reply_1,What a fuckin diver @ToddCantwell_10,What a fuckin diver [PLAYER1],@AadilSaudagar2 @ToddCantwell_10 You have Ronaldo 😂😂😂😂 and Fernandes 😂😂😂😂,[USER1] [PLAYER1] You have Ronaldo 😂😂😂😂 and Fernandes 😂😂😂😂,,agrees_with_the_post,disagrees_with_the_post,no,no,no,no,
10373,Priority,1487823772295987203,ACT_4237,1487824004819918852,reply_1,"Just woke up and found out what happened with the @masongreenwood situation. You’re not a real man, no woman should ever be physically abused/assaulted. You’re a coward and I hope your career is done for after this.","Just woke up and found out what happened with the [PLAYER1] situation. You’re not a real man, no woman should ever be physically abused/assaulted. You’re a coward and I hope your career is done for after this.",@concacafjerry2 @masongreenwood you see the voice note too?,[USER1] [PLAYER1] you see the voice note too?,,,agrees_with_the_post,,no,,no,
10384,Priority,1490987486268784641,ACT_4247,1491465203363590147,reply_1,"all that money, all those doors flung wide open to you, any hobby in the world is available and you say ""No, what I REALLY like is torturing cats."" Some people can't be fixed. @KurtZouma you're a piece of shit.","all that money, all those doors flung wide open to you, any hobby in the world is available and you say ""No, what I REALLY like is torturing cats."" Some people can't be fixed. [PLAYER1] you're a piece of shit.",@snowrespecter @KurtZouma He is! Disgusting person!!,[USER1] [PLAYER1] He is! Disgusting person!!,,,agrees_with_the_post,,no,,no,
10540,Priority,1479870144570658820,ACT_4364,1479870356932513793,reply_1,"I mean, @asaintmaximin is proper shite isn't he. 1 in 7 player. God awful.","I mean, [PLAYER1] is proper shite isn't he. 1 in 7 player. God awful.",@michaelduell @asaintmaximin I have seen a few Geordies compare him to David Ginola.,[USER1] [PLAYER1] I have seen a few Geordies compare him to David Ginola.,,other,other,no,no,no,no,
10568,Priority,1464709054236958724,ACT_4386,1464709373561823233,reply_1,@VirgilvDijk Your just a B-Tech Ajer and Varane.,[PLAYER1] Your just a B-Tech Ajer and Varane.,@ReckoningRonnie @VirgilvDijk I don’t think your opinion matters!!,[USER1] [PLAYER1] I don’t think your opinion matters!!,,disagrees_with_the_post,disagrees_with_the_post,no,no,no,no,
10741,Priority,1491018148459716608,ACT_4495,1491019671675740163,reply_1,"There isn’t a litter tray big enough for a piece of 💩 like you, @KurtZouma","There isn’t a litter tray big enough for a piece of 💩 like you, [PLAYER1]","@AlfordCat @KurtZouma I question any “man” who is entertained by violence against an animal, are they also entertained by violence towards children, women, seniors, LGBTQ…
 A public apology will not suffice. Jail time, fired, and court approved and supervised visitations with your child would be start","[USER1] [PLAYER1] I question any “man” who is entertained by violence against an animal, are they also entertained by violence towards children, women, seniors, LGBTQ… A public apology will not suffice. Jail time, fired, and court approved and supervised visitations with your child would be start",,agrees_with_the_post,agrees_with_the_post,no,no,no,no,
10758,Priority,1487766102251917312,ACT_4507,1487767014810730497,reply_1,"People defending @masongreenwood are actual cunts.
 What he has done is attempt to rape and beat his girlfriend. That voice note is clear as day. No excuses!!!!",People defending [PLAYER1] are actual cunts. What he has done is attempt to rape and beat his girlfriend. That voice note is clear as day. No excuses!!!!,@Mrs_MUFC @masongreenwood Wait!! There are people defending him? 😳,[USER1] [PLAYER1] Wait!! There are people defending him? 😳,,agrees_with_the_post,agrees_with_the_post,no,no,no,no,
11152,Priority,1457392992537485321,ACT_4566,1457393654432153601,reply_1,@fredguilbert24 Don’t come back. Disgraceful,[PLAYER1] Don’t come back. Disgraceful,@Latcollins1978 @fredguilbert24 He's NOT shushing Smith,[USER1] [PLAYER1] He's NOT shushing Smith,,,disagrees_with_the_post,,no,,no,
11203,Priority,1429482969480245251,ACT_4601,1429483292944961539,reply_1,@BukayoSaka87 YOU FUCKING BUM https://t.co/YH9tbGj3g2,[PLAYER1] YOU FUCKING BUM [URL],@joglinton @BukayoSaka87 u think he seen this,[USER1] [PLAYER1] u think he seen this,,,disagrees_with_the_post,,no,,no,
11209,Priority,1483107056521519112,ACT_4603,1483107492087439373,reply_1,Who does Rashford think he is smug twat. Ur shite lad @MarcusRashford,Who does Rashford think he is smug twat. Ur shite lad [PLAYER1],@eyetest_utd @MarcusRashford Thinks he’s the man,[USER1] [PLAYER1] Thinks he’s the man,,agrees_with_the_post,agrees_with_the_post,no,no,no,no,
11326,Priority,1443724393562128387,ACT_4679,1443733791953100800,reply_1,"@pvanaanholt You weak asf, do the talking on the field, he his 21 and you 31, you don’t have shame,","[PLAYER1] You weak asf, do the talking on the field, he his 21 and you 31, you don’t have shame,",@SBbiko0147 @pvanaanholt And also your mom knows that PvA's cock is bigger than the young marsielle doggie,[USER1] [PLAYER1] And also your mom knows that PvA's cock is bigger than the young marsielle doggie,,agrees_with_the_post,agrees_with_the_post,no,no,yes,yes,
11327,Priority,1498017864510545930,ACT_4680,1498018037173084164,reply_1,"Yo @masonmount_10 and @cpulisic_10 
 U guys re responsible for out lose today.
 Fuck u all 🖕🖕🖕",Yo [PLAYER1] and [PLAYER2] U guys re responsible for out lose today. Fuck u all 🖕🖕🖕,@Jezoz_is_Lord @masonmount_10 @cpulisic_10 Ooh yes,[USER1] [PLAYER1] [PLAYER2] Ooh yes,,agrees_with_the_post,agrees_with_the_post,no,no,no,no,
11367,Priority,1457029113672208387,ACT_4697,1457036149189394437,reply_1,@ericbailly24 You are not the blame man shite lindelof shite wan bissaka they are to blame,[PLAYER1] You are not the blame man shite lindelof shite wan bissaka they are to blame,@SanzidY @ericbailly24 Hahahahahah What? It’s Lindelof and WAN bissakas fault that bailly scored an owngoal? Get a grip,[USER1] [PLAYER1] Hahahahahah What? It’s Lindelof and WAN bissakas fault that bailly scored an owngoal? Get a grip,,disagrees_with_the_post,disagrees_with_the_post,no,no,no,no,
11442,Priority,1487850544345632779,ACT_4726,1487851160564338694,reply_1,"@masongreenwood imagine the conversation in the prison showers... 
 

 Move your legs I'm trying to fuck you 🍆🔥",[PLAYER1] imagine the conversation in the prison showers... Move your legs I'm trying to fuck you 🍆🔥,@Christonks22 @masongreenwood Brahhhh😂😂😂,[USER1] [PLAYER1] Brahhhh😂😂😂,,other,agrees_with_the_post,no,no,no,no,
11692,Priority,1461060916330610690,ACT_4786,1461068595396546560,reply_1,"We're all dreaming you'll leave in January @paulpogba try for once not to let us down, and just fuck off somewhere else!","We're all dreaming you'll leave in January [PLAYER1] try for once not to let us down, and just fuck off somewhere else!",@IWasThereMUFC @paulpogba If not sooner,[USER1] [PLAYER1] If not sooner,,,agrees_with_the_post,,no,,no,
